brandid,query,date,params,querytype
81962,Gennaro Cuofano,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Gennaro Cuofano"",""returnType"":1}",basic
81962,Who is Gennaro Cuofano,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Gennaro Cuofano"",""returnType"":1}",verboseaccurate
81962,What are Gennaro Cuofano professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Gennaro Cuofano professions"",""returnType"":1}",professions
81962,Who is the audience of Gennaro Cuofano,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Gennaro Cuofano"",""returnType"":1}",audience
180567,Fourweekmba,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Fourweekmba"",""returnType"":1}",basic
180567,Fourweekmba business model,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Fourweekmba business model"",""returnType"":1}",qualifier
180567,What is Fourweekmba,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Fourweekmba"",""returnType"":1}",verboseaccurate
180567,What is Fourweekmba business model,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Fourweekmba business model"",""returnType"":1}",qualifier
180567,Who is the audience of Fourweekmba,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Fourweekmba"",""returnType"":1}",audience
183982,Wordlift Srl,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Wordlift Srl"",""returnType"":1}",basic
183982,What is Wordlift Srl,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Wordlift Srl"",""returnType"":1}",verboseaccurate
183982,Who is the audience of Wordlift Srl,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Wordlift Srl"",""returnType"":1}",audience
184059,David Riccitelli,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""David Riccitelli"",""returnType"":1}",basic
184059,David Riccitelli wordlift,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""David Riccitelli wordlift"",""returnType"":1}",qualifier
184059,Who is David Riccitelli,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is David Riccitelli"",""returnType"":1}",verboseaccurate
184059,What are David Riccitelli professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are David Riccitelli professions"",""returnType"":1}",professions
184059,Who is David Riccitelli wordlift,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is David Riccitelli wordlift"",""returnType"":1}",verboseaccurate
184059,Who is the audience of David Riccitelli,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of David Riccitelli"",""returnType"":1}",audience
183837,With Jason Barnard...,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""With Jason Barnard..."",""returnType"":1}",basic
183837,With Jason Barnard... Podcast,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""With Jason Barnard... Podcast"",""returnType"":1}",qualifier
183837,What is With Jason Barnard...,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is With Jason Barnard..."",""returnType"":1}",verboseaccurate
183837,What is With Jason Barnard... Podcast,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is With Jason Barnard... Podcast"",""returnType"":1}",qualifier
183837,Who is the audience of With Jason Barnard...,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of With Jason Barnard..."",""returnType"":1}",audience
183941,Julia Koch,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Julia Koch"",""returnType"":1}",basic
183941,Who is Julia Koch,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Julia Koch"",""returnType"":1}",verboseaccurate
183941,What are Julia Koch professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Julia Koch professions"",""returnType"":1}",professions
183941,Who is the audience of Julia Koch,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Julia Koch"",""returnType"":1}",audience
183635,Matt Artz,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Matt Artz"",""returnType"":1}",basic
183635,Who is Matt Artz,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Matt Artz"",""returnType"":1}",verboseaccurate
183635,What are Matt Artz professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Matt Artz professions"",""returnType"":1}",professions
183635,Who is the audience of Matt Artz,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Matt Artz"",""returnType"":1}",audience
184217,Anthropology In Business Podcast,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Anthropology In Business Podcast"",""returnType"":1}",basic
184217,What is Anthropology In Business Podcast,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Anthropology In Business Podcast"",""returnType"":1}",verboseaccurate
184217,Who is the audience of Anthropology In Business Podcast,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Anthropology In Business Podcast"",""returnType"":1}",audience
184218,Anthro To Ux With Matt Artz,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Anthro To Ux With Matt Artz"",""returnType"":1}",basic
184218,What is Anthro To Ux With Matt Artz,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Anthro To Ux With Matt Artz"",""returnType"":1}",verboseaccurate
184218,Who is the audience of Anthro To Ux With Matt Artz,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Anthro To Ux With Matt Artz"",""returnType"":1}",audience
184224,Mark Gavalda,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Mark Gavalda"",""returnType"":1}",basic
184224,Mark Gavalda Kinsta,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Mark Gavalda Kinsta"",""returnType"":1}",qualifier
184224,Who is Mark Gavalda,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Mark Gavalda"",""returnType"":1}",verboseaccurate
184224,What are Mark Gavalda professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Mark Gavalda professions"",""returnType"":1}",professions
184224,Who is Mark Gavalda Kinsta,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Mark Gavalda Kinsta"",""returnType"":1}",verboseaccurate
184224,Who is the audience of Mark Gavalda,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Mark Gavalda"",""returnType"":1}",audience
184216,Matthew Hiltzik,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Matthew Hiltzik"",""returnType"":1}",basic
184216,Who is Matthew Hiltzik,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Matthew Hiltzik"",""returnType"":1}",verboseaccurate
184216,What are Matthew Hiltzik professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Matthew Hiltzik professions"",""returnType"":1}",professions
184216,Who is the audience of Matthew Hiltzik,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Matthew Hiltzik"",""returnType"":1}",audience
84753,Search Engine Land,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Search Engine Land"",""returnType"":1}",basic
84753,What is Search Engine Land,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Search Engine Land"",""returnType"":1}",verboseaccurate
84753,Who is the audience of Search Engine Land,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Search Engine Land"",""returnType"":1}",audience
113199,Barry Schwartz,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Barry Schwartz"",""returnType"":1}",basic
113199,Barry Schwartz Seo,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Barry Schwartz Seo"",""returnType"":1}",qualifier
113199,Who is Barry Schwartz,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Barry Schwartz"",""returnType"":1}",verboseaccurate
113199,What are Barry Schwartz professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Barry Schwartz professions"",""returnType"":1}",professions
113199,Who is Barry Schwartz Seo,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Barry Schwartz Seo"",""returnType"":1}",verboseaccurate
113199,Who is the audience of Barry Schwartz,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Barry Schwartz"",""returnType"":1}",audience
184229,Uploadcare,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Uploadcare"",""returnType"":1}",basic
184229,What is Uploadcare,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Uploadcare"",""returnType"":1}",verboseaccurate
184229,Who is the audience of Uploadcare,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Uploadcare"",""returnType"":1}",audience
184230,Uploadcare Inc,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Uploadcare Inc"",""returnType"":1}",basic
184230,What is Uploadcare Inc,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Uploadcare Inc"",""returnType"":1}",verboseaccurate
184230,Who is the audience of Uploadcare Inc,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Uploadcare Inc"",""returnType"":1}",audience
16,Kalicube,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Kalicube"",""returnType"":1}",basic
16,Kalicube Brand,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Kalicube Brand"",""returnType"":1}",qualifier
16,What is Kalicube,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Kalicube"",""returnType"":1}",verboseaccurate
16,What is Kalicube Brand,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Kalicube Brand"",""returnType"":1}",qualifier
16,Who is the audience of Kalicube,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Kalicube"",""returnType"":1}",audience
180483,Kalicube Tuesdays,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Kalicube Tuesdays"",""returnType"":1}",basic
180483,Kalicube Tuesdays Marketing,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Kalicube Tuesdays Marketing"",""returnType"":1}",qualifier
180483,What is Kalicube Tuesdays,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Kalicube Tuesdays"",""returnType"":1}",verboseaccurate
180483,What is Kalicube Tuesdays Marketing,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Kalicube Tuesdays Marketing"",""returnType"":1}",qualifier
180483,Who is the audience of Kalicube Tuesdays,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Kalicube Tuesdays"",""returnType"":1}",audience
180192,Véronique Barnard,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""V\u00e9ronique Barnard"",""returnType"":1}",basic
180192,Who is Véronique Barnard,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is V\u00e9ronique Barnard"",""returnType"":1}",verboseaccurate
180192,What are Véronique Barnard professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are V\u00e9ronique Barnard professions"",""returnType"":1}",professions
180192,Who is the audience of Véronique Barnard,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of V\u00e9ronique Barnard"",""returnType"":1}",audience
15,Kalicube Pro,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Kalicube Pro"",""returnType"":1}",basic
15,Kalicube Pro Brand,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Kalicube Pro Brand"",""returnType"":1}",qualifier
15,What is Kalicube Pro,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Kalicube Pro"",""returnType"":1}",verboseaccurate
15,What is Kalicube Pro Brand,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Kalicube Pro Brand"",""returnType"":1}",qualifier
15,Who is the audience of Kalicube Pro,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Kalicube Pro"",""returnType"":1}",audience
187968,Five Bees Media,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Five Bees Media"",""returnType"":1}",basic
187968,Five Bees Media Media,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Five Bees Media Media"",""returnType"":1}",qualifier
187968,What is Five Bees Media,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Five Bees Media"",""returnType"":1}",verboseaccurate
187968,What is Five Bees Media Media,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Five Bees Media Media"",""returnType"":1}",qualifier
187968,Who is the audience of Five Bees Media,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Five Bees Media"",""returnType"":1}",audience
180347,Mike Westbrook,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Mike Westbrook"",""returnType"":1}",basic
180347,Who is Mike Westbrook,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Mike Westbrook"",""returnType"":1}",verboseaccurate
180347,What are Mike Westbrook professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Mike Westbrook professions"",""returnType"":1}",professions
180347,Who is the audience of Mike Westbrook,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Mike Westbrook"",""returnType"":1}",audience
180346,Kate Westbrook,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Kate Westbrook"",""returnType"":1}",basic
180346,Who is Kate Westbrook,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Kate Westbrook"",""returnType"":1}",verboseaccurate
180346,What are Kate Westbrook professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Kate Westbrook professions"",""returnType"":1}",professions
180346,Who is the audience of Kate Westbrook,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Kate Westbrook"",""returnType"":1}",audience
184590,Erin Sparks,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Erin Sparks"",""returnType"":1}",basic
184590,Erin Sparks Seo,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Erin Sparks Seo"",""returnType"":1}",qualifier
184590,Who is Erin Sparks,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Erin Sparks"",""returnType"":1}",verboseaccurate
184590,What are Erin Sparks professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Erin Sparks professions"",""returnType"":1}",professions
184590,Who is Erin Sparks Seo,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Erin Sparks Seo"",""returnType"":1}",verboseaccurate
184590,Who is the audience of Erin Sparks,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Erin Sparks"",""returnType"":1}",audience
188240,Site Strategics,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Site Strategics"",""returnType"":1}",basic
188240,Site Strategics Digital,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Site Strategics Digital"",""returnType"":1}",qualifier
188240,What is Site Strategics,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Site Strategics"",""returnType"":1}",verboseaccurate
188240,What is Site Strategics Digital,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Site Strategics Digital"",""returnType"":1}",qualifier
188240,Who is the audience of Site Strategics,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Site Strategics"",""returnType"":1}",audience
188241,Edge Of The Web,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Edge Of The Web"",""returnType"":1}",basic
188241,Edge Of The Web Digital,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Edge Of The Web Digital"",""returnType"":1}",qualifier
188241,What is Edge Of The Web,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Edge Of The Web"",""returnType"":1}",verboseaccurate
188241,What is Edge Of The Web Digital,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Edge Of The Web Digital"",""returnType"":1}",qualifier
188241,Who is the audience of Edge Of The Web,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Edge Of The Web"",""returnType"":1}",audience
188243,Scott Duffy,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Scott Duffy"",""returnType"":1}",basic
188243,Scott Duffy Business,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Scott Duffy Business"",""returnType"":1}",qualifier
188243,Who is Scott Duffy,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Scott Duffy"",""returnType"":1}",verboseaccurate
188243,What are Scott Duffy professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Scott Duffy professions"",""returnType"":1}",professions
188243,Who is Scott Duffy Business,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Scott Duffy Business"",""returnType"":1}",verboseaccurate
188243,Who is the audience of Scott Duffy,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Scott Duffy"",""returnType"":1}",audience
180122,Scripbox,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Scripbox"",""returnType"":1}",basic
180122,What is Scripbox,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is Scripbox"",""returnType"":1}",verboseaccurate
180122,Who is the audience of Scripbox,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Scripbox"",""returnType"":1}",audience
188408,The Multimodal Writer,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""The Multimodal Writer"",""returnType"":1}",basic
188408,What is The Multimodal Writer,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is The Multimodal Writer"",""returnType"":1}",verboseaccurate
188408,Who is the audience of The Multimodal Writer,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of The Multimodal Writer"",""returnType"":1}",audience
180183,Josie Barnard,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Josie Barnard"",""returnType"":1}",basic
180183,Josie Barnard Writer,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Josie Barnard Writer"",""returnType"":1}",qualifier
180183,Who is Josie Barnard,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Josie Barnard"",""returnType"":1}",verboseaccurate
180183,What are Josie Barnard professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Josie Barnard professions"",""returnType"":1}",professions
180183,Who is Josie Barnard Writer,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Josie Barnard Writer"",""returnType"":1}",verboseaccurate
180183,Who is the audience of Josie Barnard,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Josie Barnard"",""returnType"":1}",audience
180184,Clio Barnard,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Clio Barnard"",""returnType"":1}",basic
180184,Clio Barnard Film,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Clio Barnard Film"",""returnType"":1}",qualifier
180184,Who is Clio Barnard,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Clio Barnard"",""returnType"":1}",verboseaccurate
180184,What are Clio Barnard professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Clio Barnard professions"",""returnType"":1}",professions
180184,Who is Clio Barnard Film,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Clio Barnard Film"",""returnType"":1}",verboseaccurate
180184,Who is the audience of Clio Barnard,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Clio Barnard"",""returnType"":1}",audience
188482,Scott Turman,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Scott Turman"",""returnType"":1}",basic
188482,Scott Turman Brand,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Scott Turman Brand"",""returnType"":1}",qualifier
188482,Who is Scott Turman,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Scott Turman"",""returnType"":1}",verboseaccurate
188482,What are Scott Turman professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Scott Turman professions"",""returnType"":1}",professions
188482,Who is Scott Turman Brand,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Scott Turman Brand"",""returnType"":1}",verboseaccurate
188482,Who is the audience of Scott Turman,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Scott Turman"",""returnType"":1}",audience
188483,The Pleasure Dome,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""The Pleasure Dome"",""returnType"":1}",basic
188483,The Pleasure Dome Josie,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""The Pleasure Dome Josie"",""returnType"":1}",qualifier
188483,What is The Pleasure Dome,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is The Pleasure Dome"",""returnType"":1}",verboseaccurate
188483,What is The Pleasure Dome Josie,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What is The Pleasure Dome Josie"",""returnType"":1}",qualifier
188483,Who is the audience of The Pleasure Dome,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of The Pleasure Dome"",""returnType"":1}",audience
79867,John Lennon,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""John Lennon"",""returnType"":1}",basic
79867,John Lennon Musician,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""John Lennon Musician"",""returnType"":1}",qualifier
79867,Who is John Lennon,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is John Lennon"",""returnType"":1}",verboseaccurate
79867,What are John Lennon professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are John Lennon professions"",""returnType"":1}",professions
79867,Who is John Lennon Musician,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is John Lennon Musician"",""returnType"":1}",verboseaccurate
79867,Who is the audience of John Lennon,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of John Lennon"",""returnType"":1}",audience
80946,Paul McCartney,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Paul McCartney"",""returnType"":1}",basic
80946,Paul McCartney Musician,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""Paul McCartney Musician"",""returnType"":1}",qualifier
80946,Who is Paul McCartney,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Paul McCartney"",""returnType"":1}",verboseaccurate
80946,What are Paul McCartney professions,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""What are Paul McCartney professions"",""returnType"":1}",professions
80946,Who is Paul McCartney Musician,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is Paul McCartney Musician"",""returnType"":1}",verboseaccurate
80946,Who is the audience of Paul McCartney,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is the audience of Paul McCartney"",""returnType"":1}",audience
79290,George Harrison,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""George Harrison"",""returnType"":1}",basic
79290,George Harrison Musician,8/4/2024,"{""systemQuery"":""Be concise and accurate."",""userQuery"":""George Harrison Musician"",""returnType"":1}",qualifier
79290,Who is George Harrison,8/4/2024,"{""systemQuery"":""Be verbose and accurate."",""userQuery"":""Who is George Harrison"",""returnType"":1}",verboseaccurate
